question,choices,answer,point
歌劇「費加洛婚禮」為何者作品？,"莫札特,貝多芬,巴哈,柴可夫斯基",莫札特,10
電影少林足球中，大師兄的武功？,"鬼影擒拿手,無堅不摧鐵頭功,金鐘罩鐵布衫,風火地堂腿",無堅不摧鐵頭功,3
被稱為“第七藝術”的是？,"馬戲團,話劇,電影,電視",電影,3
梁朝偉的英文名字？,"Rick,Leon,Simon,Tony",Tony,3
在哈利波特小說中不會魔法的人稱為？,"小黃瓜,南瓜,麻瓜,絲瓜",麻瓜,3
卡通櫻桃小丸子中總是噗個不停的是？,"山田,永澤,花輪,豬太郎",豬太郎,3
科學小飛俠的隊長是？,"阿龍,鐵雄,珍珍,大明",鐵雄,5
電影「功夫」中，周星馳花了多少錢買了武功秘笈？,"2塊,5塊,20塊,10塊",10塊,5
追隨桃太郎的動物當中不包含哪一種動物？,"貓,猴子,雞,狗",貓,3
韓國電影「我的野蠻女友」女主角？,"崔智友,全智賢,金素妍,張娜拉",全智賢,3
利菁主持的超級偶像第一屆冠軍是？,"王雅婷,張芸京,黃文星,楊宗緯",張芸京,5
卡通「聖鬥士」中冰河是什麼星座？,"白鳥座,鳳凰座,天龍座,天馬座",白鳥座,5
「射鵰英雄傳」中何者沒有當過郭靖的師傅？,"洪七公,朱聰,黃藥師,哲別",黃藥師,5
卡通櫻桃小丸子中的藤木同學被誰喜歡？,"吉川綠,小丸子,美環,小玉",吉川綠,5
從古至今電視及電影中，誰演過東方不敗？,"范逸臣,范文芳,梅莉史翠普,范瑋琪",范瑋琪,5
哪個遊戲是以金城武為範本？,"鬼太郎,鬼武者,天誅,真三國無雙",鬼武者,5
張國榮享年幾歲？,"42歲,46歲,40歲,44歲",46歲,10
中華職棒第一位完全打擊的本國選手？,"廖敏雄,張泰山,陳該發,陳甘霖",陳該發,10
漫畫「神劍闖江湖」的男主角緋村劍心，因為殺人無數，而有哪一個稱號？,"拔刀萬人斬,拔刀千人斬,拔刀百人斬,拔刀再不斬",拔刀千人斬,5
白煮蛋正確的煮法是？,"放在枕頭下孵七七四十九天,先水滾，後放蛋,先放蛋，後滾水,詢問劉昂星",先放蛋，後滾水,5
具有公信力的調解委員會設置於何者？,"縣市議會,警察局,地方法院,鄉鎮市區公所",鄉鎮市區公所,5
根據選罷法規定，選舉時，政黨的得票率要達到百分之多少，才能參予全國不分區當選名額分配？,"5%,20%,10%,7%",5%,5
鐵人三項比賽中，自行車項目的距離為幾公里？,"30,20,10,40",40,5
下列何者不是印象派的畫家？,"畢沙羅,米開朗基羅,雷諾瓦,莫內",米開朗基羅,5
請問下列何者是台中的名產？,"阿給,太陽餅,臭豆腐,鴨賞",太陽餅,3
請問下列何者是宜蘭的名產？,"太陽餅,阿給,鴨賞,臭豆腐",鴨賞,3
行人過馬路的小綠人跑步號誌，是哪裡發明的？,"台灣,英國,新加波,法國",台灣,5
提拉米蘇是哪一個國家的甜點,"荷蘭,法國,義大利,英國",義大利,3
目前為止，被認為全國最準確的曆法是？,"巴比倫曆,中國農曆,格里高里曆,馬雅曆",中國農曆,5
下列哪一球隊為NBA東區的球隊？,"籃網,國王,小牛,馬刺",籃網,5
甲子園球場是哪一球隊的主場？,"阪神,樂天,中日,羅德",阪神,5
漫畫灌籃高手中，誰是海南大附屬高中的？,"藤真健司,木暮公延,澤北榮治,神宗一郎",神宗一郎,5
你覺得誰可以參與現代藝術？,"偉大藝術家,每個人,壽司店老闆,本科系學生",每個人,3
勞基法規定，勞工每兩週的工作，不得超過幾小時？,"100小時,80小時,84小時,86小時",84小時,5
蘋果在哪一年推出了Apple I 個人電腦？,"西元1978年,西元1974年,西元1972年,西元1976年",西元1976年,10
國際間決定原油供應量、影響油價波動的主要組織是？,"APEC,OPEC,WTO,OECD",OPEC,3
柔道比賽何者得分最高？,"Yuko,Ippon,Koka,Waza-ari",Koka,10
星辰的世界觀屬於哪一種神話背景？,"埃及,北歐,希臘,日本",希臘,3
申請中華民國普通護照的費用，是新台幣多少錢？,"1200元,1000元,500元,1500元",1200元,10
